,city,area,rooms,bathroom,parking spaces,floor,animal,furniture,hoa (R$),rent amount (R$),property tax (R$),fire insurance (R$),total (R$)
26,São Paulo,41.0,,1.0,1.0,5,not acept,furnished,600.0,,0.0,,3639.0
27,Belo Horizonte,64.0,2.0,2.0,1.0,11,acept,not furnished,352.0,,80.0,20.0,1952.0
28,Campinas,208.0,3.0,2.0,4.0,,acept,not furnished,0.0,3180.0,100.0,48.0,3328.0
29,São Paulo,20.0,1.0,1.0,0.0,5,acept,furnished,602.0,,130.0,23.0,2555.0
30,São Paulo,55.0,2.0,,2.0,6,acept,not furnished,780.0,1068.0,,14.0,2004.0
31,São Paulo,32.0,1.0,1.0,0.0,3,acept,not furnished,515.0,1700.0,29.0,22.0,
32,São Paulo,80.0,2.0,2.0,1.0,11,acept,,1208.0,2550.0,216.0,33.0,
33,Rio de Janeiro,45.0,1.0,1.0,1.0,10,acept,furnished,2450.0,2500.0,593.0,,5576.0
34,São Paulo,350.0,4.0,,3.0,8,acept,not furnished,2100.0,4000.0,,,6651.0
35,Porto Alegre,38.0,1.0,1.0,2.0,11,not acept,not furnished,450.0,,0.0,26.0,2226.0
36,São Paulo,30.0,1.0,1.0,0.0,1,acept,not furnished,460.0,1600.0,0.0,,2081.0
37,Belo Horizonte,80.0,3.0,2.0,,-,acept,not furnished,0.0,11000.0,425.0,181.0,11610.0
38,São Paulo,70.0,2.0,,0.0,-,not acept,not furnished,0.0,1150.0,59.0,18.0,1227.0
39,Porto Alegre,40.0,1.0,1.0,1.0,6,acept,furnished,390.0,2990.0,0.0,44.0,3424.0
40,São Paulo,300.0,4.0,6.0,4.0,20,acept,not furnished,3700.0,12000.0,1584.0,153.0,17440.0
41,São Paulo,240.0,,2.0,3.0,-,acept,not furnished,0.0,3500.0,292.0,53.0,3845.0
42,Belo Horizonte,200.0,4.0,2.0,1.0,,not acept,not furnished,850.0,,9.0,34.0,3443.0
43,Belo Horizonte,45.0,,1.0,1.0,5,acept,not furnished,500.0,1631.0,192.0,,2335.0
44,São Paulo,360.0,4.0,5.0,0.0,1,acept,not furnished,,6410.0,2000.0,82.0,12490.0
45,São Paulo,40.0,1.0,1.0,,10,acept,furnished,978.0,2829.0,0.0,33.0,3840.0
46,Belo Horizonte,100.0,3.0,1.0,0.0,13,not acept,,700.0,,10.0,17.0,1947.0
47,Porto Alegre,42.0,1.0,1.0,,,acept,,190.0,1770.0,17.0,26.0,2003.0
48,Campinas,250.0,3.0,3.0,2.0,1,acept,not furnished,2200.0,1700.0,256.0,22.0,
49,Campinas,48.0,1.0,1.0,1.0,2,acept,furnished,505.0,1600.0,,21.0,2185.0
50,Rio de Janeiro,90.0,3.0,,1.0,10,acept,not furnished,1250.0,3800.0,147.0,49.0,5246.0
51,São Paulo,45.0,1.0,2.0,,15,acept,furnished,856.0,3900.0,150.0,50.0,
52,Rio de Janeiro,150.0,2.0,3.0,4.0,6,acept,not furnished,1700.0,,700.0,52.0,
53,São Paulo,60.0,,1.0,0.0,2,acept,not furnished,200.0,1445.0,0.0,19.0,1664.0
54,São Paulo,,1.0,1.0,0.0,,acept,not furnished,370.0,2350.0,,30.0,2806.0
55,São Paulo,210.0,,5.0,4.0,,not acept,not furnished,1650.0,9000.0,772.0,115.0,11540.0
56,,280.0,3.0,1.0,2.0,,acept,not furnished,,6000.0,113.0,91.0,6204.0
57,Campinas,93.0,2.0,,2.0,9,acept,,663.0,5500.0,133.0,70.0,6366.0
58,Porto Alegre,75.0,3.0,,1.0,9,acept,not furnished,,1800.0,109.0,27.0,2276.0
59,São Paulo,,3.0,4.0,,-,,not furnished,0.0,4000.0,70.0,61.0,4131.0
60,São Paulo,41.0,1.0,1.0,1.0,6,acept,furnished,523.0,4000.0,131.0,51.0,4705.0
61,Rio de Janeiro,65.0,,1.0,1.0,,acept,furnished,2000.0,5100.0,250.0,,7416.0
62,São Paulo,70.0,,,1.0,13,acept,not furnished,761.0,2150.0,67.0,28.0,3006.0
63,São Paulo,278.0,4.0,5.0,2.0,16,acept,furnished,4052.0,9000.0,1261.0,115.0,14430.0
64,Rio de Janeiro,35.0,1.0,1.0,0.0,5,acept,not furnished,306.0,1521.0,,20.0,1868.0
65,,300.0,4.0,4.0,3.0,2,acept,not furnished,2300.0,6000.0,417.0,77.0,8794.0
66,São Paulo,61.0,2.0,,1.0,4,acept,not furnished,459.0,1850.0,0.0,24.0,2333.0
67,Rio de Janeiro,130.0,3.0,2.0,1.0,7,acept,not furnished,1660.0,1700.0,475.0,22.0,3857.0
68,Rio de Janeiro,80.0,,1.0,1.0,20,,not furnished,500.0,900.0,90.0,12.0,
69,São Paulo,164.0,4.0,4.0,,6,not acept,not furnished,2159.0,5000.0,386.0,64.0,7609.0
70,Belo Horizonte,220.0,4.0,2.0,3.0,3,acept,not furnished,450.0,2422.0,125.0,33.0,3030.0
71,São Paulo,45.0,1.0,1.0,0.0,-,acept,not furnished,0.0,1050.0,46.0,16.0,1112.0
72,São Paulo,108.0,3.0,2.0,2.0,7,,,1290.0,5600.0,435.0,71.0,
73,Belo Horizonte,128.0,,1.0,0.0,4,acept,furnished,418.0,2100.0,,28.0,2728.0
74,Rio de Janeiro,60.0,,1.0,0.0,,not acept,not furnished,450.0,,48.0,24.0,2322.0
75,São Paulo,250.0,4.0,5.0,,6,acept,not furnished,2050.0,9800.0,998.0,125.0,12970.0
76,Porto Alegre,47.0,1.0,1.0,1.0,1,not acept,furnished,400.0,2200.0,0.0,33.0,2633.0
77,Belo Horizonte,170.0,4.0,3.0,4.0,9,not acept,not furnished,744.0,2700.0,296.0,36.0,3776.0
78,São Paulo,45.0,1.0,1.0,0.0,1,not acept,not furnished,300.0,,0.0,16.0,
79,São Paulo,42.0,1.0,1.0,1.0,15,acept,not furnished,,3500.0,,45.0,
80,São Paulo,164.0,4.0,4.0,3.0,,acept,not furnished,1840.0,6000.0,550.0,77.0,
81,São Paulo,,3.0,1.0,1.0,1,acept,not furnished,700.0,1020.0,200.0,13.0,1933.0
82,Porto Alegre,100.0,4.0,3.0,1.0,8,,not furnished,600.0,2200.0,159.0,33.0,2992.0
83,,64.0,2.0,2.0,,,acept,furnished,1300.0,4500.0,440.0,58.0,6298.0
84,Belo Horizonte,68.0,2.0,1.0,1.0,3,acept,not furnished,320.0,1200.0,27.0,16.0,1563.0
85,Belo Horizonte,75.0,2.0,2.0,2.0,14,not acept,not furnished,,2500.0,264.0,34.0,
86,São Paulo,600.0,4.0,4.0,4.0,9,,not furnished,7400.0,8500.0,3368.0,108.0,
87,São Paulo,63.0,2.0,2.0,0.0,15,not acept,,590.0,1550.0,152.0,20.0,2312.0
88,São Paulo,145.0,3.0,4.0,3.0,1,not acept,not furnished,1200.0,6000.0,750.0,77.0,
89,São Paulo,85.0,2.0,2.0,2.0,3,not acept,not furnished,1500.0,2800.0,292.0,36.0,4628.0
90,,254.0,4.0,4.0,,7,acept,,3366.0,9000.0,1800.0,,14280.0
91,Porto Alegre,350.0,4.0,4.0,4.0,-,,,1.0,9000.0,359.0,160.0,
92,São Paulo,,4.0,4.0,,-,acept,,0.0,3500.0,584.0,53.0,4137.0
93,Belo Horizonte,296.0,4.0,3.0,2.0,-,acept,not furnished,0.0,13500.0,,,14150.0
94,São Paulo,64.0,2.0,2.0,2.0,8,acept,not furnished,450.0,2800.0,30.0,36.0,3316.0
95,São Paulo,133.0,3.0,,0.0,6,acept,not furnished,813.0,2957.0,38.0,38.0,3846.0
96,Campinas,44.0,1.0,1.0,0.0,7,acept,not furnished,350.0,550.0,12.0,7.0,919.0
97,Campinas,240.0,3.0,4.0,2.0,-,acept,not furnished,0.0,3000.0,250.0,46.0,3296.0
98,Porto Alegre,70.0,3.0,2.0,1.0,4,acept,not furnished,490.0,2500.0,8.0,37.0,
99,São Paulo,22.0,1.0,1.0,0.0,26,acept,not furnished,302.0,2050.0,45.0,26.0,
100,Porto Alegre,50.0,,1.0,1.0,1,acept,not furnished,350.0,950.0,50.0,14.0,1364.0
101,Porto Alegre,67.0,3.0,2.0,2.0,4,acept,not furnished,600.0,2200.0,50.0,33.0,2883.0
102,São Paulo,31.0,1.0,1.0,0.0,,acept,furnished,430.0,2300.0,0.0,,2760.0
103,Rio de Janeiro,90.0,2.0,1.0,1.0,1,acept,furnished,850.0,,191.0,45.0,4554.0
104,Rio de Janeiro,,3.0,3.0,1.0,1,acept,not furnished,2000.0,3800.0,300.0,49.0,
105,Belo Horizonte,,4.0,2.0,2.0,-,not acept,not furnished,0.0,2500.0,74.0,,2615.0
106,São Paulo,300.0,4.0,5.0,4.0,-,,,0.0,14000.0,1167.0,211.0,15380.0
107,Campinas,284.0,4.0,3.0,3.0,4,acept,not furnished,,6000.0,483.0,77.0,8900.0
108,Porto Alegre,70.0,2.0,,1.0,3,acept,furnished,360.0,2400.0,,36.0,2826.0
109,Rio de Janeiro,309.0,4.0,5.0,4.0,7,acept,not furnished,2661.0,6500.0,682.0,84.0,9927.0
110,São Paulo,70.0,2.0,1.0,0.0,-,acept,not furnished,,2100.0,134.0,32.0,2266.0
111,São Paulo,360.0,,4.0,1.0,10,acept,not furnished,2300.0,10000.0,584.0,127.0,13010.0
112,São Paulo,30.0,,1.0,1.0,10,not acept,not furnished,886.0,,0.0,20.0,2406.0
113,Campinas,,2.0,2.0,2.0,11,acept,not furnished,832.0,2200.0,171.0,28.0,3231.0
114,Belo Horizonte,133.0,4.0,4.0,3.0,6,not acept,not furnished,1500.0,7000.0,800.0,94.0,
115,São Paulo,38.0,1.0,1.0,1.0,14,not acept,,1620.0,,279.0,36.0,4735.0
116,,73.0,2.0,2.0,1.0,7,acept,not furnished,1100.0,3500.0,100.0,,4745.0
117,São Paulo,155.0,3.0,4.0,2.0,4,acept,not furnished,1500.0,2000.0,150.0,26.0,3676.0
118,,63.0,2.0,2.0,1.0,15,acept,not furnished,357.0,3200.0,50.0,41.0,3648.0
119,São Paulo,58.0,2.0,1.0,1.0,1,acept,not furnished,0.0,1400.0,0.0,18.0,1418.0
120,São Paulo,,1.0,1.0,0.0,9,not acept,furnished,377.0,,,44.0,3871.0
121,São Paulo,210.0,3.0,4.0,3.0,7,acept,not furnished,1700.0,2790.0,834.0,,5360.0
122,Belo Horizonte,100.0,3.0,2.0,,2,acept,not furnished,340.0,,183.0,22.0,2145.0
123,São Paulo,94.0,3.0,2.0,2.0,1,acept,not furnished,1337.0,3570.0,140.0,46.0,5093.0
124,São Paulo,,3.0,3.0,2.0,3,acept,furnished,1220.0,5010.0,395.0,64.0,6689.0
125,,76.0,3.0,1.0,1.0,4,acept,not furnished,1200.0,,267.0,32.0,3999.0
126,São Paulo,192.0,3.0,3.0,2.0,13,acept,not furnished,2100.0,7800.0,634.0,99.0,10630.0
127,São Paulo,217.0,,4.0,3.0,1,acept,not furnished,2884.0,6500.0,0.0,83.0,9467.0
128,São Paulo,68.0,2.0,1.0,1.0,5,acept,,610.0,1400.0,35.0,18.0,
129,São Paulo,110.0,3.0,2.0,2.0,2,acept,not furnished,1145.0,2400.0,247.0,31.0,3823.0
130,Belo Horizonte,95.0,2.0,2.0,1.0,3,,not furnished,660.0,1600.0,164.0,22.0,2446.0
131,São Paulo,,4.0,6.0,8.0,,acept,not furnished,0.0,15000.0,4417.0,226.0,19640.0
132,,34.0,1.0,1.0,,5,not acept,not furnished,347.0,1200.0,45.0,16.0,
133,São Paulo,192.0,3.0,4.0,3.0,5,acept,not furnished,2000.0,8000.0,0.0,102.0,10100.0
134,Porto Alegre,62.0,2.0,2.0,,9,acept,not furnished,350.0,1800.0,75.0,27.0,2252.0
135,São Paulo,180.0,3.0,3.0,4.0,-,acept,,0.0,3700.0,184.0,56.0,3940.0
136,Campinas,44.0,,1.0,0.0,3,acept,furnished,350.0,916.0,,,1290.0
137,Belo Horizonte,100.0,2.0,1.0,1.0,1,not acept,not furnished,250.0,1700.0,116.0,23.0,2089.0
138,Rio de Janeiro,140.0,3.0,3.0,1.0,24,not acept,not furnished,900.0,1370.0,100.0,18.0,2388.0
139,,170.0,3.0,3.0,3.0,8,acept,furnished,1570.0,2800.0,,36.0,5054.0
140,São Paulo,,3.0,2.0,2.0,,not acept,not furnished,0.0,1600.0,150.0,,1775.0
141,São Paulo,75.0,,2.0,2.0,4,acept,not furnished,652.0,1600.0,82.0,21.0,2355.0
142,Rio de Janeiro,52.0,2.0,1.0,0.0,2,acept,not furnished,200.0,1200.0,43.0,16.0,1459.0
143,Campinas,999.0,5.0,7.0,8.0,-,acept,not furnished,0.0,14000.0,667.0,211.0,14880.0
144,São Paulo,270.0,4.0,4.0,4.0,8,,not furnished,2200.0,7000.0,1500.0,89.0,10790.0
145,Belo Horizonte,50.0,2.0,1.0,1.0,1,acept,not furnished,160.0,930.0,60.0,,1163.0
146,Campinas,200.0,3.0,3.0,2.0,-,,not furnished,650.0,2210.0,184.0,34.0,3078.0
147,São Paulo,,2.0,2.0,0.0,16,acept,not furnished,430.0,1920.0,100.0,25.0,2475.0
148,São Paulo,500.0,5.0,4.0,6.0,-,acept,not furnished,0.0,13000.0,250.0,196.0,13450.0
149,São Paulo,60.0,2.0,1.0,0.0,-,acept,not furnished,0.0,,,17.0,1191.0
150,São Paulo,110.0,2.0,,0.0,8,,not furnished,1100.0,1300.0,84.0,17.0,
151,,210.0,3.0,3.0,4.0,-,acept,not furnished,0.0,3294.0,276.0,50.0,3620.0
152,São Paulo,220.0,3.0,,3.0,8,acept,not furnished,2021.0,,996.0,77.0,9094.0
153,Belo Horizonte,200.0,3.0,2.0,5.0,-,not acept,,0.0,4000.0,204.0,66.0,4270.0
154,São Paulo,130.0,3.0,4.0,3.0,2,acept,,,4250.0,502.0,54.0,
155,São Paulo,,2.0,2.0,2.0,,acept,furnished,1037.0,4000.0,245.0,51.0,5333.0
156,São Paulo,96.0,,2.0,2.0,17,acept,not furnished,804.0,3200.0,250.0,41.0,4295.0
157,São Paulo,,4.0,5.0,5.0,12,acept,furnished,4800.0,20000.0,1750.0,254.0,26800.0
158,Rio de Janeiro,107.0,3.0,2.0,0.0,7,acept,furnished,1460.0,3200.0,,42.0,4972.0
159,Rio de Janeiro,105.0,3.0,2.0,0.0,1,acept,not furnished,740.0,2200.0,9.0,29.0,2978.0
160,,,3.0,2.0,0.0,7,,not furnished,900.0,3290.0,109.0,43.0,4342.0
161,São Paulo,287.0,3.0,4.0,4.0,-,acept,furnished,0.0,9000.0,430.0,136.0,9566.0
162,Campinas,24.0,1.0,1.0,0.0,1,not acept,furnished,,1180.0,9.0,,1434.0
163,São Paulo,22.0,1.0,1.0,0.0,-,not acept,not furnished,,976.0,,15.0,991.0
164,São Paulo,70.0,1.0,1.0,1.0,-,not acept,not furnished,0.0,2529.0,142.0,39.0,2710.0
165,Porto Alegre,44.0,1.0,1.0,1.0,2,acept,furnished,250.0,1500.0,,22.0,1789.0
166,São Paulo,150.0,3.0,2.0,2.0,-,not acept,not furnished,0.0,2500.0,0.0,,2538.0
167,São Paulo,90.0,1.0,2.0,2.0,9,acept,furnished,998.0,2900.0,220.0,37.0,4155.0
168,São Paulo,200.0,4.0,4.0,2.0,8,,furnished,,2800.0,830.0,36.0,6666.0
169,São Paulo,320.0,,4.0,0.0,-,acept,not furnished,450.0,,350.0,158.0,11460.0
170,Porto Alegre,,2.0,1.0,1.0,2,,not furnished,550.0,1700.0,110.0,25.0,2385.0
171,,240.0,4.0,4.0,3.0,9,acept,not furnished,2500.0,2144.0,834.0,28.0,5506.0
172,São Paulo,154.0,4.0,,3.0,21,acept,not furnished,1684.0,7000.0,1020.0,89.0,9793.0
173,,60.0,2.0,2.0,2.0,2,acept,not furnished,2340.0,3230.0,284.0,41.0,
174,Campinas,101.0,3.0,2.0,0.0,5,acept,not furnished,780.0,2380.0,91.0,31.0,3282.0
175,Porto Alegre,140.0,3.0,,2.0,-,,not furnished,,3090.0,0.0,55.0,
176,São Paulo,500.0,4.0,5.0,8.0,-,acept,not furnished,0.0,15000.0,1850.0,,
177,São Paulo,110.0,,3.0,3.0,4,acept,not furnished,1195.0,2350.0,687.0,30.0,4262.0
178,São Paulo,110.0,3.0,3.0,2.0,-,acept,not furnished,0.0,4800.0,50.0,73.0,4923.0
179,Belo Horizonte,90.0,2.0,2.0,,3,acept,not furnished,200.0,2000.0,84.0,27.0,2311.0
180,São Paulo,384.0,4.0,,4.0,3,not acept,furnished,3500.0,15000.0,344.0,191.0,19040.0
181,São Paulo,57.0,2.0,1.0,1.0,7,acept,not furnished,570.0,1500.0,67.0,20.0,2157.0
182,São Paulo,160.0,3.0,3.0,2.0,5,acept,,1650.0,1500.0,419.0,,3589.0
183,São Paulo,39.0,1.0,1.0,0.0,8,acept,not furnished,330.0,1250.0,19.0,16.0,1615.0
184,Campinas,78.0,1.0,,1.0,4,acept,not furnished,0.0,2290.0,143.0,30.0,2463.0
185,Porto Alegre,36.0,1.0,1.0,,-,acept,not furnished,,762.0,15.0,14.0,
186,Campinas,70.0,2.0,1.0,1.0,,acept,not furnished,558.0,1200.0,0.0,16.0,1774.0
187,Belo Horizonte,45.0,,1.0,1.0,4,not acept,furnished,300.0,3200.0,0.0,,3543.0
188,São Paulo,,3.0,4.0,3.0,1,acept,,3500.0,8500.0,1250.0,108.0,13360.0
189,São Paulo,100.0,3.0,3.0,,-,acept,not furnished,0.0,4300.0,120.0,65.0,4485.0
190,São Paulo,,,1.0,1.0,14,not acept,not furnished,0.0,5000.0,0.0,64.0,5064.0
191,São Paulo,280.0,4.0,,1.0,1,acept,furnished,3000.0,8000.0,292.0,102.0,11390.0
192,São Paulo,28.0,1.0,1.0,1.0,13,not acept,furnished,615.0,2800.0,42.0,36.0,3493.0
193,São Paulo,30.0,1.0,1.0,0.0,-,not acept,furnished,,1826.0,30.0,24.0,2176.0
194,Belo Horizonte,85.0,,2.0,1.0,1,acept,not furnished,337.0,1500.0,88.0,20.0,1945.0
195,Campinas,83.0,1.0,1.0,1.0,4,not acept,not furnished,,,59.0,,1653.0
196,Campinas,85.0,3.0,2.0,2.0,16,acept,furnished,550.0,3300.0,150.0,42.0,4042.0
197,Belo Horizonte,90.0,3.0,2.0,2.0,3,acept,,325.0,1600.0,105.0,22.0,2052.0
198,Belo Horizonte,50.0,,1.0,,5,acept,not furnished,0.0,900.0,100.0,12.0,1012.0
199,Rio de Janeiro,50.0,1.0,1.0,0.0,8,,not furnished,600.0,,134.0,38.0,3672.0
200,Belo Horizonte,300.0,3.0,2.0,3.0,-,not acept,not furnished,0.0,,539.0,110.0,7349.0
201,Porto Alegre,39.0,1.0,1.0,0.0,7,acept,not furnished,350.0,850.0,27.0,13.0,1240.0
202,São Paulo,750.0,4.0,4.0,6.0,-,acept,,0.0,15000.0,,226.0,17310.0
203,Porto Alegre,60.0,2.0,1.0,,,acept,not furnished,222.0,1100.0,46.0,17.0,1385.0
204,Rio de Janeiro,68.0,2.0,1.0,0.0,,,not furnished,750.0,1250.0,9.0,,2026.0
205,São Paulo,70.0,2.0,1.0,1.0,-,acept,not furnished,230.0,1250.0,50.0,16.0,1546.0
206,São Paulo,90.0,2.0,2.0,1.0,,acept,furnished,900.0,6500.0,89.0,83.0,7572.0
207,Rio de Janeiro,258.0,5.0,6.0,0.0,-,acept,not furnished,0.0,8700.0,670.0,133.0,
208,São Paulo,,2.0,2.0,6.0,-,acept,not furnished,0.0,4500.0,292.0,68.0,4860.0
209,,123.0,2.0,2.0,,6,acept,not furnished,1800.0,2990.0,625.0,38.0,5453.0
210,,127.0,3.0,2.0,2.0,-,acept,furnished,220.0,2150.0,67.0,33.0,2470.0
211,,180.0,4.0,,2.0,-,acept,not furnished,,1800.0,210.0,30.0,2040.0
212,São Paulo,110.0,3.0,,0.0,-,not acept,not furnished,0.0,2900.0,384.0,44.0,3328.0
213,,70.0,2.0,2.0,1.0,7,acept,furnished,585.0,1719.0,77.0,23.0,
214,São Paulo,35.0,1.0,1.0,1.0,8,,,,3000.0,130.0,39.0,3889.0
215,São Paulo,219.0,3.0,2.0,2.0,-,acept,not furnished,0.0,2900.0,150.0,44.0,3094.0
216,Rio de Janeiro,25.0,,1.0,0.0,-,acept,not furnished,50.0,700.0,0.0,10.0,760.0
217,Rio de Janeiro,170.0,4.0,5.0,0.0,10,acept,not furnished,1200.0,7100.0,639.0,92.0,9031.0
218,Rio de Janeiro,45.0,1.0,1.0,0.0,8,acept,,900.0,1570.0,,21.0,2589.0
219,,420.0,4.0,4.0,2.0,-,not acept,not furnished,0.0,7000.0,200.0,115.0,7315.0
220,Porto Alegre,46.0,,1.0,0.0,4,acept,not furnished,0.0,1040.0,48.0,16.0,1104.0
221,São Paulo,145.0,3.0,3.0,2.0,1,acept,furnished,1088.0,,250.0,74.0,7212.0
222,Belo Horizonte,59.0,2.0,2.0,1.0,2,acept,not furnished,190.0,1100.0,59.0,,
223,,225.0,4.0,3.0,0.0,8,acept,not furnished,1850.0,7500.0,466.0,100.0,
224,São Paulo,210.0,4.0,,3.0,3,acept,not furnished,2270.0,4675.0,1110.0,60.0,8115.0
225,Porto Alegre,76.0,1.0,1.0,0.0,-,acept,not furnished,209.0,1249.0,52.0,19.0,1529.0
226,São Paulo,220.0,3.0,4.0,3.0,2,not acept,not furnished,2500.0,5150.0,1250.0,66.0,8966.0
227,São Paulo,109.0,3.0,2.0,2.0,7,acept,not furnished,1746.0,2500.0,134.0,,4412.0
228,Belo Horizonte,95.0,2.0,,1.0,3,acept,not furnished,646.0,1000.0,120.0,14.0,1780.0
229,São Paulo,32.0,1.0,1.0,0.0,-,not acept,not furnished,280.0,1500.0,50.0,20.0,1850.0
230,São Paulo,480.0,4.0,6.0,5.0,9,acept,not furnished,6660.0,15000.0,3063.0,191.0,24910.0
231,São Paulo,53.0,1.0,1.0,1.0,3,acept,not furnished,694.0,4390.0,200.0,56.0,5340.0
232,São Paulo,40.0,1.0,1.0,0.0,,not acept,not furnished,0.0,780.0,17.0,12.0,809.0
233,São Paulo,50.0,1.0,1.0,1.0,,acept,furnished,,3223.0,100.0,41.0,
234,São Paulo,60.0,1.0,1.0,0.0,-,acept,not furnished,0.0,1300.0,,20.0,1575.0
235,Porto Alegre,64.0,2.0,2.0,2.0,7,not acept,not furnished,450.0,1500.0,50.0,22.0,2022.0
236,Rio de Janeiro,140.0,3.0,3.0,2.0,4,acept,furnished,2280.0,12000.0,535.0,155.0,14970.0
237,São Paulo,121.0,3.0,3.0,1.0,12,,not furnished,800.0,2040.0,334.0,26.0,3200.0
238,Campinas,43.0,1.0,1.0,1.0,,acept,furnished,498.0,2100.0,84.0,27.0,2709.0
239,São Paulo,20.0,1.0,1.0,1.0,3,not acept,furnished,1700.0,1360.0,0.0,18.0,3078.0
240,,58.0,2.0,1.0,,,acept,,289.0,950.0,11.0,,1263.0
241,Belo Horizonte,570.0,5.0,6.0,7.0,-,acept,furnished,0.0,,873.0,,9340.0
242,São Paulo,,2.0,1.0,1.0,,acept,not furnished,980.0,2790.0,0.0,36.0,3806.0
243,São Paulo,89.0,3.0,2.0,2.0,19,acept,,900.0,6000.0,184.0,77.0,7161.0
244,Porto Alegre,47.0,1.0,1.0,1.0,1,not acept,furnished,400.0,2200.0,0.0,33.0,2633.0
245,,40.0,1.0,1.0,0.0,-,acept,not furnished,0.0,1100.0,50.0,17.0,1167.0
246,Rio de Janeiro,40.0,1.0,1.0,0.0,1,acept,furnished,386.0,1950.0,91.0,26.0,2453.0
247,Rio de Janeiro,60.0,1.0,2.0,1.0,3,acept,not furnished,400.0,750.0,80.0,10.0,1240.0
248,São Paulo,,1.0,1.0,0.0,,acept,not furnished,257.0,1650.0,0.0,,1928.0
249,Porto Alegre,50.0,2.0,1.0,0.0,13,acept,not furnished,340.0,1130.0,30.0,17.0,
250,Porto Alegre,90.0,3.0,1.0,,1,acept,not furnished,145.0,1130.0,55.0,17.0,1347.0
251,São Paulo,173.0,3.0,3.0,3.0,2,acept,not furnished,3000.0,,825.0,26.0,
252,Campinas,91.0,3.0,2.0,2.0,12,acept,not furnished,700.0,2250.0,175.0,,3154.0
253,São Paulo,90.0,3.0,2.0,2.0,6,not acept,not furnished,1710.0,1200.0,109.0,16.0,3035.0
254,São Paulo,530.0,5.0,,4.0,2,acept,furnished,8300.0,15000.0,5000.0,191.0,28490.0
255,Belo Horizonte,155.0,1.0,4.0,0.0,4,not acept,not furnished,1117000.0,2790.0,64.0,38.0,1120000.0
256,São Paulo,40.0,1.0,1.0,0.0,-,,not furnished,0.0,,0.0,17.0,1317.0
257,São Paulo,296.0,4.0,,3.0,,acept,not furnished,0.0,15000.0,0.0,191.0,15190.0
258,,87.0,3.0,2.0,1.0,17,acept,not furnished,850.0,1400.0,,18.0,2468.0
259,São Paulo,300.0,3.0,3.0,5.0,-,acept,not furnished,0.0,5000.0,584.0,76.0,5660.0
260,São Paulo,136.0,3.0,3.0,3.0,13,acept,,1430.0,4206.0,364.0,54.0,
